valorv	expos	tipov	idadev	sexoc	areac	idadec	nsinis	csinis
0.77	0.052019165	HBACK	4	F	A	2	1	322.32999992
1.64	0.4845995893	SEDAN	2	F	E	3	1	3143.6499939
0.44	0.1095140315	SEDAN	4	F	A	2	1	3679.0899963
1.5	0.514715948	HBACK	4	M	A	3	1	1691.3499985
2.06	0.3668720055	STNWG	4	M	B	6	1	16310.839966
1.61	0.8131416838	HBACK	3	M	C	6	1	703.0199995
1.65	0.6160164271	SEDAN	3	F	B	4	1	407.79999971
3.549	0.4654346338	STNWG	1	F	F	3	1	550
1.9	0.4845995893	SEDAN	1	M	D	4	1	1332.8399963
1.89	0.8076659822	SEDAN	2	F	C	4	1	243.55000019
2.94	0.8678986995	HBACK	2	F	C	5	1	947.54999924
2.25	0.8678986995	STNWG	3	M	B	2	1	3957.7799988
1.48	0.8076659822	COUPE	3	M	B	4	1	459.5
1.39	0.6132785763	HBACK	1	F	A	4	1	289.08999991
1.85	0.1861738535	STNWG	3	F	C	4	1	3948.0299911
2.3	0.9883641342	HDTOP	2	M	A	4	1	200
2.03	0.4818617385	UTE	3	F	E	3	1	835.76999855
1.06	0.424366872	HBACK	4	F	A	1	1	613.04999924
4.78	0.9883641342	STNWG	1	M	A	3	1	565.92999935
1.85	0.59137577	SEDAN	2	M	D	5	1	1061.4499989
2.61	0.59137577	STNWG	3	M	C	5	1	200
1.1	0.4572210814	SEDAN	3	F	F	1	1	420
1.14	0.59137577	SEDAN	3	F	C	6	1	3931.5099945
6.38	0.7501711157	STNWG	1	F	D	5	1	390
1.61	0.4079397673	SEDAN	3	M	E	5	1	408.94999981
1.07	0.59137577	SEDAN	4	M	D	3	1	265.69000053
1.27	0.7748117728	TRUCK	4	F	E	2	1	408.94999981
1.2	0.8131416838	SEDAN	3	F	B	2	1	367.02999973
1.3	0.8076659822	HBACK	2	F	A	5	1	345
0.5	0.6981519507	HBACK	4	F	E	4	1	3607.7799911
0.72	0.5229295003	HBACK	3	F	B	3	2	4387.484539
1.28	0.8651608487	TRUCK	3	M	C	2	1	1244.1899986
1.29	0.7282683094	SEDAN	3	F	C	4	1	367.72999954
1.42	0.8651608487	HBACK	1	M	C	6	1	652.48999977
0.52	0.0684462697	SEDAN	4	F	B	4	1	1592.2599983
0.7	0.5229295003	HBACK	4	M	B	3	1	7031.1699982
2.84	0.5229295003	STNWG	3	F	F	2	2	4419.7499933
0.73	0.7885010267	HBACK	4	F	C	2	1	591
2.84	0.5229295003	STNWG	3	M	C	3	1	427.26999998
4	0.2026009582	STNWG	3	F	B	5	1	442.5
1.37	0.8651608487	HBACK	3	F	A	2	1	200
0.74	0.5749486653	HBACK	4	F	C	2	1	200
1.74	0.8624229979	SEDAN	2	F	A	4	2	1092.9099989
0.77	0.6023271732	HBACK	4	F	A	5	1	1836.9199982
1.38	0.8651608487	SEDAN	2	F	C	1	1	200
2.81	0.4818617385	SEDAN	1	M	D	5	1	353.76999998
1.61	0.5886379192	SEDAN	2	M	B	6	1	200
1.97	0.5886379192	SEDAN	3	F	A	6	1	575.94999981
1.56	0.4106776181	STNWG	4	F	D	6	1	480
2.99	0.5886379192	HDTOP	1	F	A	3	1	200
0.58	0.4106776181	TRUCK	4	M	E	6	1	390
1.6	0.2080766598	HBACK	2	F	A	2	1	1404.75
1.37	0.5886379192	HBACK	2	F	A	3	1	200
2.91	0.5886379192	STNWG	1	F	B	4	1	889.84999847
0.46	0.5722108145	SEDAN	4	F	C	3	1	2073.7099991
1.94	0.8624229979	SEDAN	2	F	A	1	1	200
1.38	0.4791238877	UTE	2	M	C	3	1	586.82999992
3.2	0.4791238877	UTE	2	M	D	1	1	2067.3199997
1.52	0.9801505818	UTE	4	M	C	4	1	922.06999969
2.56	0.810403833	HDTOP	1	F	A	1	2	11653.23
0.31	0.0465434634	SEDAN	4	F	A	3	1	1111.3445435
0.96	0.7310061602	SEDAN	4	M	D	3	2	8766.5899811
1.5	0.7912388775	HDTOP	3	F	B	1	1	998.46999931
3.02	0.5201916495	STNWG	2	F	A	4	1	3096.7999954
1.36	0.0328542094	HBACK	2	M	B	6	1	567.6799984
1.37	0.7912388775	HBACK	1	F	C	3	1	210.35000229
2.07	0.8076659822	STNWG	1	M	A	2	1	7465.1199951
1.74	0.8596851472	HBACK	2	F	B	5	1	200
0.81	0.1834360027	HBACK	4	F	A	4	1	993.89999962
1.66	0.5366187543	HBACK	3	M	A	2	1	978.66999817
1.42	0.8624229979	TRUCK	2	M	C	2	2	3974.0099964
0.89	0.9801505818	HBACK	3	F	B	3	1	200
1.01	0.1368925394	SEDAN	4	F	C	3	2	662.07999992
2.04	0.3805612594	STNWG	3	M	A	5	1	1027
2.06	0.5722108145	SEDAN	2	M	C	5	1	200
2.88	0.3805612594	STNWG	1	M	B	5	1	353.76999998
1.45	0.6187542779	SEDAN	3	M	B	5	1	1031.8399982
1.52	0.8624229979	SEDAN	3	M	B	2	1	200
2.4	0.3668720055	TRUCK	2	M	E	1	1	20745.869934
1.28	0.3805612594	HBACK	2	F	A	4	1	453.97999954
1	0.6187542779	HBACK	3	F	C	1	1	225.39999998
0.53	0.3805612594	SEDAN	4	F	A	2	1	4619.1536255
1.06	0.2655715263	HBACK	3	M	A	1	1	1793.1899986
0.79	0.5229295003	HBACK	4	F	C	3	2	3491.529995
1.65	0.4736481862	SEDAN	2	F	D	3	1	2634.9199982
1.53	0.4736481862	PANVN	2	F	A	5	1	7641.2099915
1.53	0.2683093771	STNWG	4	M	F	2	1	3027.6699982
3.44	0.7939767283	UTE	1	F	F	1	1	389.94999981
0.53	0.4736481862	HBACK	4	F	C	4	1	1938.7799988
1.31	0.3778234086	STNWG	4	M	D	1	1	369.17999983
1.98	0.2683093771	SEDAN	2	M	C	4	1	600.68999958
3.73	0.8076659822	STNWG	2	M	A	2	1	2460.0899963
0.83	0.8076659822	SEDAN	3	F	B	1	1	200
1.37	0.9993155373	HBACK	2	M	A	6	1	200
1.13	0.4736481862	SEDAN	3	F	C	4	1	781.59999847
1.03	0.4298425736	HBACK	3	F	E	1	1	390
2.29	0.8049281314	HBACK	1	M	C	1	1	1901.1699905
1.36	0.6707734428	HBACK	3	F	F	3	1	200.00999451
1.81	0.8980150582	SEDAN	2	F	A	2	1	736.94999886
1.38	0.8076659822	UTE	3	M	F	5	2	7657.5699768
2.52	0.4736481862	STNWG	3	F	D	1	1	4955.9999847
1.58	0.3969883641	UTE	3	M	B	5	1	11379.319977
0.78	0.2518822724	HBACK	3	M	A	2	1	4140.0099945
1.52	0.8076659822	STNWG	4	F	F	2	1	1864.5699997
2.35	0.8980150582	UTE	2	M	A	1	1	200
1.31	0.8076659822	STNWG	4	M	E	4	1	519.54999924
2.44	0.8596851472	SEDAN	1	F	C	4	1	696.31999969
1.42	0.4818617385	HBACK	2	M	C	2	1	541.18999958
0.97	0.8596851472	HDTOP	4	F	B	4	1	200
1.79	0.8980150582	SEDAN	2	F	A	4	2	830.92999983
1.35	0.5694729637	SEDAN	3	M	C	4	1	200
1.799	0.0547570157	SEDAN	1	M	A	2	1	2953.2599564
3.35	0.1806981519	STNWG	1	M	B	3	1	200
2.78	0.3230663929	STNWG	2	F	A	2	1	367.72999954
1.17	0.7748117728	SEDAN	3	M	A	3	1	9024.9499817
0.89	0.4928131417	HBACK	3	F	E	4	1	2207.659996
0.87	0.7939767283	HBACK	4	M	B	2	1	4779.7899933
4	0.9993155373	STNWG	3	M	B	3	1	353.76999998
1.03	0.1451060917	SEDAN	3	F	D	3	1	390
1.49	0.5174537988	SEDAN	2	M	B	5	1	613.48999977
1.3	0.4490075291	HBACK	1	M	A	3	1	322.77999878
1.37	0.9993155373	SEDAN	3	F	C	4	1	1116.7499981
1.31	0.8788501027	HBACK	2	F	C	5	1	470.25
1.57	0.5776865161	HBACK	1	F	C	6	1	496.28999996
1.66	0.8049281314	HBACK	3	M	C	1	1	200
0.78	0.4298425736	STNWG	4	M	C	5	1	377.88999939
1.5	0.6625598905	HBACK	1	M	E	1	1	200
2.99	0.8596851472	TRUCK	1	F	D	2	1	1697.6299973
1.15	0.8021902806	HBACK	3	F	C	4	2	710.23999977
2.44	0.4709103354	STNWG	2	M	F	2	1	353.76999998
3.78	0.8596851472	STNWG	1	F	D	5	1	390
1.74	0.8596851472	HBACK	2	F	C	5	1	353.76999998
1.87	0.7967145791	STNWG	3	M	A	3	1	2722.8399963
0.5	0.4709103354	STNWG	4	M	E	6	1	408.94999981
2.35	0.386036961	HBACK	2	F	C	3	1	3082.9799957
1.55	0.9993155373	UTE	3	M	C	3	1	514.8399992
1.77	0.8213552361	STNWG	4	F	F	2	1	2996
1.64	0.4709103354	STNWG	4	F	C	2	1	3411.1899948
2.7	0.514715948	HDTOP	3	M	E	5	1	20928.679932
3.66	0.7748117728	STNWG	1	F	B	4	1	669.36999989
1.95	0.8761122519	STNWG	4	F	D	3	1	2968.4899979
1.87	0.1232032854	HBACK	3	F	E	1	1	450
2.89	0.8761122519	STNWG	2	M	B	3	1	200
1.4	0.8761122519	SEDAN	3	F	C	5	1	642.44999981
2.27	0.8815879535	STNWG	3	F	C	4	1	725
2.33	0.4325804244	SEDAN	2	M	B	3	1	249.13999999
0.97	0.8733744011	HBACK	3	F	B	6	1	3563.909996
1.54	0.8788501027	TRUCK	4	M	C	2	1	200
1.64	0.4216290212	HBACK	2	F	B	4	1	585.25
1.46	0.8815879535	UTE	3	M	D	5	1	2651.5699997
1.7	0.8788501027	SEDAN	3	F	E	4	1	390
1.6	0.4517453799	SEDAN	3	F	C	4	1	997.22001839
1.66	0.8761122519	HDTOP	3	F	A	1	2	2377.6199994
1.82	0.2162902122	SEDAN	2	M	C	4	1	11616.759979
4.09	0.7994524298	UTE	1	M	F	5	1	2114
1.24	0.34770705	HBACK	1	F	D	3	1	710.34999943
2.26	0.7994524298	HBACK	1	M	A	4	1	526.93999958
3.32	0.1587953457	STNWG	2	F	C	3	1	353.76999998
1.95	0.1752224504	STNWG	1	M	C	3	1	886.01999855
2.42	0.605065024	SEDAN	1	F	A	5	1	441.9199996
2.58	0.4654346338	SEDAN	1	F	C	3	1	2097.0199966
1.76	0.5804243669	SEDAN	2	M	C	6	1	764.76999855
2.83	0.5092402464	UTE	2	M	B	4	1	200
3.2	0.4188911704	SEDAN	2	M	B	4	1	1384.1799965
1.94	0.3039014374	HBACK	1	F	B	3	1	804.18000793
4.5	0.4161533196	STNWG	2	M	A	4	1	308.45000076
2.35	0.5804243669	STNWG	3	M	D	6	1	919.78999901
1.96	0.5859000684	SEDAN	1	M	E	4	1	786.14999962
6.22	0.5831622177	STNWG	1	F	A	4	1	542
1.02	0.5859000684	HBACK	2	M	A	4	1	1343.4799995
0.96	0.5831622177	HBACK	3	F	A	5	1	3083.4309006
1.07	0.7693360712	SEDAN	4	F	C	3	1	642.61999989
1.6	0.2628336756	HBACK	2	F	E	2	1	9054.7599792
1	0.5366187543	SEDAN	3	F	C	3	1	353.76999998
2.15	0.8843258042	SEDAN	1	F	C	3	1	200
1.34	0.2628336756	HBACK	2	F	C	1	1	200
2.32	0.2628336756	STNWG	3	M	D	2	1	390
1.69	0.3887748118	HBACK	2	F	A	3	1	352.01999998
1.65	0.4654346338	STNWG	3	M	C	3	1	359.17999983
1.89	0.7967145791	HBACK	1	F	A	6	1	353.76999998
0.65	0.4900752909	TRUCK	4	M	C	2	1	972.23999786
1.15	0.7967145791	SEDAN	3	F	C	5	1	200
2.96	0.5092402464	HDTOP	1	F	C	3	1	689.0199995
1.23	0.2847364819	STNWG	3	F	A	5	1	200
1.26	0.1423682409	HBACK	2	F	C	2	1	1728.2299995
0.45	0.476386037	HBACK	4	F	A	4	1	200
0.9	0.3778234086	SEDAN	3	F	C	6	1	359.73999977
1.56	0.6214921287	SEDAN	3	M	B	3	1	200
4.11	0.6214921287	STNWG	2	M	F	2	1	228.29999995
1.79	0.4654346338	SEDAN	4	F	B	2	1	200
1.47	0.7967145791	HBACK	1	F	C	1	1	200
2.2	0.7967145791	MCARA	4	M	A	1	1	353.79999971
2.91	0.7967145791	STNWG	1	F	C	4	1	889.73999977
1.73	0.7912388775	MIBUS	4	M	B	3	1	2345.5799942
1.33	0.6680355921	TRUCK	2	M	C	2	3	3097.8599963
2.07	0.4216290212	STNWG	3	M	C	1	1	367.72999954
2.05	0.5859000684	SEDAN	2	F	E	6	1	862.31999969
1.56	0.4216290212	STNWG	4	M	D	5	1	353.79999971
1.87	0.5585215606	STNWG	3	F	A	3	1	1164.6299992
3.34	0.5776865161	STNWG	3	F	C	3	1	670
0.83	0.5776865161	SEDAN	4	F	B	4	1	3222.409996
1.38	0.4216290212	SEDAN	3	F	C	4	1	369.14999962
3.06	0.796714579	STNWG	3	M	C	5	1	2161.1899986
1.64	0.7939767283	SEDAN	3	M	F	3	1	3941.909996
4.06	0.8514715948	STNWG	3	M	F	5	1	2794.3099976
2.72	0.1122518823	STNWG	3	M	E	3	1	389.94999981
2.34	0.8295687885	SEDAN	2	F	B	2	1	200
0.76	0.8240930869	STNWG	4	F	D	2	1	1871.8499985
1.64	0.3942505133	SEDAN	2	F	A	3	1	200
2.51	0.887063655	STNWG	3	M	D	2	1	473.89999962
0.9	0.5065023956	HBACK	3	F	A	5	1	499.34999847
0.85	0.8514715948	HBACK	3	F	B	1	1	756.27999878
1.24	0.8514715948	SEDAN	3	F	A	1	2	8195.8099861
1.54	0.4654346338	SEDAN	2	M	A	1	1	200
2.53	0.5393566051	SEDAN	1	F	C	3	1	903.06999969
0.65	0.1478439425	STNWG	4	M	B	1	1	369.14999962
1.71	0.4380561259	SEDAN	2	F	C	2	1	497.52999973
1.28	0.2765229295	HBACK	2	M	A	5	1	200
1.45	0.4928131417	STNWG	4	M	B	4	1	654.93999863
2.42	0.501026694	UTE	3	M	B	2	1	389.94999981
0.44	0.8268309377	HBACK	4	F	A	2	1	15588.929993
6.14	0.7392197125	SEDAN	2	M	C	3	1	227.21999997
4.04	0.8514715948	STNWG	2	M	B	4	1	1114.1199989
2.74	0.977412731	STNWG	2	F	D	2	1	1370.5999985
1.73	0.5366187543	SEDAN	2	F	E	2	1	371.66999817
0.71	0.1724845996	HBACK	3	F	C	4	1	1283.5299988
1.73	0.887063655	HBACK	2	F	C	5	1	292.34000015
1.97	0.6132785763	SEDAN	2	F	B	3	1	632.4299984
1.43	0.8268309377	HDTOP	3	F	A	1	1	353.76999998
1.94	0.3750855578	SEDAN	2	F	C	5	1	200
2.03	0.3696098563	UTE	4	F	D	2	1	353.79999971
2.54	0.4462696783	STNWG	3	M	E	3	1	5950.5899963
1.84	0.7939767283	HBACK	2	M	C	3	1	809.56999969
2.79	0.848733744	BUS	3	F	F	2	1	2620.7199936
0.5	0.1724845996	HBACK	4	F	A	3	1	200
1.76	0.5557837098	SEDAN	1	M	D	5	1	353.76999998
3.34	0.7939767283	HBACK	2	F	E	4	1	1927.9299927
3.3	0.5065023956	STNWG	2	F	B	3	1	2144.7799988
2.77	0.5749486653	SEDAN	2	M	B	4	3	1231.2599998
1.38	0.2819986311	HBACK	3	F	E	3	1	634.54999924
3.52	0.5749486653	STNWG	2	F	D	2	1	1188.4399986
2.71	0.2600958248	STNWG	3	M	A	4	1	886
2.12	0.8843258042	STNWG	3	M	B	6	1	353.79999971
1.56	0.8268309377	SEDAN	1	F	A	4	1	353.76999998
1.51	0.8843258042	MIBUS	4	F	B	4	1	270.86999989
1.52	0.7775496235	SEDAN	2	F	C	4	1	1354.7999992
2.99	0.6214921287	STNWG	3	M	E	3	1	353.76999998
1.37	0.7912388775	UTE	4	M	A	3	2	872.5899992
1.13	0.7939767283	SEDAN	3	F	A	1	1	709.1499939
1.13	0.1697467488	STNWG	4	F	D	3	1	863.55999947
1.19	0.7939767283	STNWG	4	M	A	3	1	2848.4699936
1.94	0.1916495551	SEDAN	1	M	A	1	1	560.47999954
2.83	0.462696783	STNWG	2	F	C	2	1	26507.294983
1.26	0.9993155373	HBACK	2	F	C	4	1	4742.5699921
2.77	0.1505817933	STNWG	1	F	E	2	1	353.76999998
0.86	0.848733744	SEDAN	4	F	C	2	1	3498.4899979
1.23	0.5557837098	HBACK	2	F	C	3	1	200
0.75	0.8678986995	SEDAN	4	M	B	3	1	3596.0199966
0.38	0.8706365503	SEDAN	4	F	B	6	1	741.5
1.18	0.8706365503	SEDAN	3	M	A	6	1	200
0.81	0.4955509925	HBACK	3	F	B	3	1	2798.0099945
1.97	0.8678986995	STNWG	2	F	A	6	1	1055.0300045
1.66	0.8706365503	SEDAN	2	M	B	5	1	587.78999996
1.41	0.9746748802	HBACK	2	F	A	6	1	605.61999989
1.57	0.8733744011	SEDAN	2	M	B	6	1	1775.0099983
1.37	0.5557837098	HBACK	1	F	C	1	1	246.97999954
1.549	0.9993155373	HBACK	1	F	B	4	1	1710.3999977
2.18	0.8733744011	UTE	3	M	D	3	2	763.96999955
1.24	0.8843258042	HBACK	2	M	C	4	1	210.84999999
2.48	0.8076659822	SEDAN	1	M	B	4	1	9073.2099915
1.58	0.7227926078	UTE	3	M	A	5	1	1349.7399979
0.46	0.2792607803	SEDAN	4	F	B	2	1	1432.1299973
0.44	0.643394935	TRUCK	4	F	C	3	1	6245.4499969
1.08	0.5585215606	SEDAN	3	F	C	3	1	486.04999924
1.83	0.8295687885	SEDAN	1	F	A	2	1	796.95999908
0.76	0.7337440109	HBACK	3	F	F	3	1	485
3.28	0.4462696783	STNWG	1	F	F	1	1	389.94999981
2.59	0.4955509925	UTE	2	M	B	2	1	353.76999998
3.08	0.7912388775	PANVN	1	M	F	1	1	734.93999863
3.33	0.7446954141	COUPE	2	F	C	3	1	200
3.7	0.7885010267	STNWG	1	F	A	2	1	1454.7199974
3.75	0.7912388775	HDTOP	2	M	A	1	1	353.79999971
2.21	0.8459958932	UTE	1	F	C	4	1	1298.8099976
1.31	0.8459958932	HBACK	1	F	C	2	1	1265.8599968
1.97	0.7912388775	SEDAN	4	M	C	2	1	1193.789999
0.57	0.7775496235	SEDAN	4	M	A	2	1	260.37999606
0.63	0.7419575633	UTE	4	M	B	5	1	410.90999985
2.14	0.7912388775	HBACK	1	F	C	3	1	200
1.47	0.553045859	HBACK	2	M	A	5	1	2818.8799973
2.12	0.8131416838	MCARA	4	M	A	1	1	1200.2499981
2.198	0.4544832307	HBACK	1	F	A	5	1	200
1.23	0.4462696783	SEDAN	3	M	C	4	1	1392.6199989
2.11	0.7885010267	HBACK	1	F	E	2	1	646
2.41	0.8624229979	SEDAN	1	M	B	6	1	799.82999992
1.64	0.501026694	HBACK	2	F	C	3	1	1562.7299995
0.44	0.8624229979	SEDAN	4	M	A	4	1	926.59999847
0.93	0.8651608487	SEDAN	3	F	C	4	1	1054.7099991
0.85	0.8651608487	HBACK	3	F	B	4	1	200
1.31	0.8624229979	HBACK	2	M	C	5	1	603.32999992
1.85	0.1478439425	HBACK	2	F	A	2	1	200
0.87	0.2518822724	HBACK	3	F	C	2	1	3430.859993
1.2	0.8651608487	SEDAN	3	F	C	5	1	454.75
4.47	0.8459958932	STNWG	1	M	E	2	1	390
1.05	0.4982888433	SEDAN	3	F	C	2	2	508.18000031
1.47	0.8651608487	SEDAN	3	M	E	3	1	200
1.37	0.553045859	SEDAN	3	F	A	2	1	200
2.18	0.8651608487	SEDAN	3	M	B	4	1	1271.0099983
4.23	0.501026694	STNWG	2	F	C	2	1	1760.7699966
1.71	0.9719370294	SEDAN	3	F	A	5	1	1512
1.77	0.501026694	HBACK	1	M	C	2	1	548.10999966
4.62	0.8815879535	TRUCK	1	M	C	2	1	2205
1.97	0.501026694	STNWG	4	M	C	3	1	200
2.79	0.9336071184	TRUCK	3	M	D	2	1	1998
1.61	0.4544832307	HBACK	1	F	B	4	1	250
1.5	0.7885010267	HBACK	1	F	E	1	1	408.94999981
0.72	0.4544832307	HBACK	3	F	A	3	1	379.14999962
2.93	0.4462696783	STNWG	1	F	F	2	1	389.94999981
5.236	0.9226557153	STNWG	1	M	A	4	1	384.5
2.39	0.7885010267	STNWG	4	M	C	3	1	219.93999988
2.51	0.4982888433	UTE	2	M	E	1	1	3718.6299973
2.07	0.9691991786	SEDAN	1	M	B	2	1	200.01999855
1.35	0.2409308693	SEDAN	3	F	A	5	1	15157.049957
1.7	0.4380561259	STNWG	2	F	A	3	1	683
5.27	0.8432580424	STNWG	1	F	E	2	1	389.94999981
1.78	0.9993155373	TRUCK	2	M	E	1	1	4547.6499939
0.88	0.3969883641	COUPE	4	M	B	3	1	1255.0999985
1.1	0.8432580424	SEDAN	3	M	D	4	1	1050.7999992
0.95	0.8678986995	SEDAN	4	M	C	4	1	3415.7172623
1.35	0.7885010267	STNWG	4	F	C	1	1	2064.5199966
1.5	0.4216290212	HBACK	1	M	C	3	1	200
1.65	0.4490075291	SEDAN	2	F	B	1	1	2144.7599983
4.1	0.1095140315	STNWG	2	M	E	4	1	1522.25
2.29	0.8898015058	STNWG	3	F	E	2	1	3693.8199997
2.02	0.1943874059	HBACK	1	M	C	5	1	4367.4499969
1.57	0.8788501027	HBACK	2	F	D	5	1	2582.8099976
5.24	0.0711841205	COUPE	1	M	A	2	1	1506.5399971
1.86	0.1943874059	SEDAN	2	M	E	3	1	390
0.98	0.8432580424	SEDAN	3	F	B	4	1	200
0.75	0.8788501027	SEDAN	4	M	C	3	1	200
1.15	0.5256673511	HBACK	3	F	B	2	1	6009.4499817
1.39	0.8761122519	HBACK	2	F	B	2	1	477
1.45	0.4681724846	HBACK	3	F	A	2	2	9511.0899811
1.06	0.8788501027	PANVN	3	F	A	4	1	967.03999901
0.76	0.7857631759	HBACK	3	F	E	4	1	200
1.04	0.4517453799	SEDAN	3	F	E	3	1	582.5199995
1.36	0.7501711157	HBACK	2	F	C	6	1	641.94999981
1.1	0.0054757016	HBACK	2	F	B	2	1	200
1.84	0.3915126626	HBACK	1	M	E	6	1	19348.529968
0.99	0.8761122519	SEDAN	3	F	D	3	1	2029.7799988
0.8	0.1916495551	HBACK	3	F	D	3	1	728.64999962
1.25	0.501026694	SEDAN	4	F	A	3	1	3337.5899963
1.55	0.4982888433	COUPE	3	F	A	2	1	2588.8999939
1.81	0.7830253251	SEDAN	2	M	C	2	2	7474.3699341
3.54	0.1067761807	STNWG	2	M	B	5	1	1081.1899986
0.71	0.6461327858	UTE	4	M	B	4	1	200.01999664
0.96	0.1067761807	SEDAN	3	M	A	3	1	200
0.54	0.2491444216	HBACK	4	F	A	4	1	1028.7399998
1.58	0.7501711157	STNWG	3	M	C	2	1	1174.2799988
1.65	0.1615331964	HBACK	3	F	A	2	1	200
1.74	0.8405201916	SEDAN	2	F	C	4	1	462.30000305
1.98	0.5804243669	HBACK	2	F	C	6	1	9163.2799988
2.49	0.8761122519	STNWG	3	F	E	3	1	3577.7399979
1.98	0.7529089665	HBACK	2	F	C	1	1	200
1.6	0.0930869268	SEDAN	4	F	A	6	1	13263.179993
1.26	0.9993155373	HBACK	2	F	C	6	1	1426
1.97	0.6324435318	STNWG	4	M	B	4	1	442
1.21	0.9691991786	HBACK	2	M	A	6	1	903.90999985
0.3	0.3696098563	SEDAN	4	F	C	5	1	200
0.61	0.4490075291	PANVN	4	F	B	2	1	587.64999962
0.3	0.3668720055	SEDAN	4	F	B	4	1	1872.8099976
1.45	0.6269678302	SEDAN	3	M	B	5	1	1354.4899979
4.32	0.1587953457	STNWG	2	M	D	1	1	2031.5499992
3.26	0.4298425736	UTE	2	M	D	5	1	353.76999998
1.81	0.8405201916	SEDAN	2	F	C	6	1	1599.5199966
2.66	0.5694729637	STNWG	3	F	D	4	1	390
1.57	0.8596851472	SEDAN	2	F	A	2	2	400
0.79	0.5694729637	HBACK	3	F	A	3	1	200
1.47	0.3696098563	HBACK	2	F	B	4	1	430.55999994
1.98	0.8761122519	SEDAN	2	F	B	5	1	1731.1699982
1.85	0.1587953457	SEDAN	2	F	C	2	1	353.76999998
1.82	0.6242299795	SEDAN	2	M	D	5	1	367.5
1.16	0.4791238877	SEDAN	3	F	E	4	1	7205.9099731
1.03	0.5201916495	HBACK	2	F	C	2	1	587.40999985
4.5	0.7802874743	TRUCK	1	F	B	2	1	1331.8199997
1.46	0.2683093771	SEDAN	3	F	B	3	1	630.47999954
2.7	0.7775496235	STNWG	2	F	A	2	1	260
1.05	0.7802874743	SEDAN	3	M	B	4	1	633.3399992
0.78	0.3668720055	HBACK	4	M	A	4	2	6407.8899803
0.72	0.7036276523	HBACK	4	M	A	1	3	2677.6636353
1.56	0.9993155373	SEDAN	1	M	B	2	1	1800.5199966
1.47	0.5420944559	HBACK	2	F	C	4	2	8458.5399857
0.95	0.7775496235	HBACK	3	F	F	1	1	389.94999981
4.69	0.5420944559	STNWG	1	M	E	3	1	753.76999855
2.17	0.4462696783	SEDAN	1	M	A	4	1	5853.7399902
2.64	0.4462696783	STNWG	3	M	E	4	1	1075.0099983
2.11	0.4900752909	SEDAN	2	M	C	1	1	7357.5099945
1.23	0.4188911704	HBACK	2	F	A	2	1	345
1.14	0.4900752909	SEDAN	3	F	C	2	1	6423.5699921
1.93	0.8350444901	STNWG	4	M	F	4	1	389.94999981
4.84	0.2518822724	STNWG	1	F	D	3	1	1300.3799973
1.88	0.3641341547	UTE	1	F	E	3	1	353.76999998
1.35	0.3641341547	STNWG	4	M	C	2	1	9921.1299438
4.66	0.3641341547	STNWG	1	M	A	3	1	200
0.99	0.5119780972	HBACK	3	F	D	3	1	200
1.06	0.3039014374	SEDAN	3	M	A	2	1	1191.6399994
2.1	0.8596851472	STNWG	4	M	D	2	1	200
1.6835	0.9993155373	HBACK	1	F	C	4	1	712.93999863
3.43	0.8596851472	STNWG	3	M	C	4	1	200
1.87	0.1396303901	HBACK	3	F	B	3	1	200
1.77	0.4435318275	SEDAN	1	F	E	2	1	1545.9499969
4.04	0.8596851472	STNWG	2	M	A	1	2	8235.6299934
0.53	0.5859000684	HBACK	4	F	A	6	1	200
2.79	0.4435318275	STNWG	3	F	C	2	1	816.6799984
2.66	0.8678986995	STNWG	2	M	D	5	1	3108.8399963
2.61	0.5393566051	SEDAN	1	M	A	4	1	848.53999901
1.28	0.9993155373	STNWG	4	M	F	3	1	2633.5399933
2.39	0.4873374401	SEDAN	4	M	B	4	1	914
2.65	0.8377823409	STNWG	3	F	A	3	1	200
1.79	0.4873374401	SEDAN	2	M	C	2	1	200
0.99	0.8323066393	SEDAN	3	F	A	5	1	731.81999969
2.099	0.3258042437	SEDAN	1	M	B	4	1	1725.4572258
0.5	0.3613963039	SEDAN	4	F	B	4	1	200
1.61	0.3613963039	HBACK	2	F	C	5	1	200
0.31	0.0219028063	SEDAN	4	M	C	5	1	2717.3499908
0.97	0.4435318275	SEDAN	3	F	B	2	1	1170.5899982
1.73	0.8405201916	HBACK	2	F	A	3	1	200
0.48	0.8678986995	HBACK	4	F	C	1	1	728.16999817
1.57	0.4873374401	SEDAN	3	F	F	3	1	2117.9299965
3.68	0.9582477755	STNWG	1	F	A	2	1	916.08999634
1.4	0.4435318275	UTE	3	M	E	4	1	531.19999981
1.61	0.4599589322	SEDAN	3	F	C	4	1	11138.429993
1.33	0.8213552361	SEDAN	3	F	E	1	1	2680.6899948
3.34	0.4435318275	MCARA	3	M	D	4	1	353.79999971
1.36	0.59137577	HBACK	2	F	C	6	1	9053.8899841
1.4	0.8569472964	SEDAN	3	F	B	5	1	1219.1299992
0.38	0.8569472964	SEDAN	4	M	A	6	1	390
1.749	0.9993155373	HBACK	1	F	A	4	1	704.52999878
1.19	0.8569472964	HBACK	2	M	A	4	1	1778.7999992
3.23	0.8569472964	STNWG	3	M	E	3	1	1366.7299995
2.35	0.9993155373	SEDAN	2	M	C	3	1	298.3499999
2.33	0.605065024	STNWG	2	F	B	2	1	4588.0899963
0.51	0.4325804244	HBACK	4	F	B	1	1	4282.5399933
